# command: /scratch/shared/beegfs/angelyhe/AIMS-MP2/chamfer_eval.py /scratch/shared/beegfs/angelyhe/AIMS-MP2/data/a-benchtop-monocular-laboratory-microscope-a-hea_20260331_230942_552800_6c80d18c/actionmesh/normed/objs /scratch/shared/beegfs/angelyhe/AIMS-MP2/data/a-benchtop-monocular-laboratory-microscope-a-hea_20260331_230942_552800_6c80d18c/gt/normed/objs --export /scratch/shared/beegfs/angelyhe/AIMS-MP2/actionmesh/chamfer_results/normed/a-benchtop-monocular-laboratory-microscope-a-hea_20260331_230942_552800_6c80d18c.csv
frame,chamfer_squared
0,0.0001558415330756902
1,0.00026998512091558596
2,0.00036158153333376824
3,0.000478100704748042
4,0.0006006475049089304
5,0.0007629129508525639
6,0.0008737027860666955
7,0.0008945868963739565
8,0.0008983261184955954
9,0.0008166680708380245
10,0.000720491274812645
11,0.0005871043887000927
12,0.0004635783323935865
13,0.0003503004800360705
14,0.000255942360890029
15,0.00020184440048688228
16,0.00029518111350821015
17,0.00040293688585614365
18,0.0005321218755764994
19,0.0007019166668337769
20,0.0008908409196080283
21,0.0010009728683460033
22,0.0010482674109365427
23,0.001057713457745186
24,0.0009959797059214855
25,0.0008689435858929026
26,0.0007090971591804474
27,0.0005546886045946835
28,0.00040677406574956415
29,0.0003091741463730031
30,0.00024616358744498847
